Sample	SampleSubject	SampleBodySite	Taxa	Estimated_Reads
LKMB002-1-40_S44	S005	Moist_Um	Micrococcus	554251
LKMB002-1-40_S44	S005	Moist_Um	Staphylococcus	353424
LKMB002-1-40_S44	S005	Moist_Um	Other	2926750
LKMB002-2-008_S99	S013	Rarely_Moist_Vf	Cutibacterium	1304512
LKMB002-2-008_S99	S013	Rarely_Moist_Vf	Corynebacterium	103490
LKMB002-2-008_S99	S013	Rarely_Moist_Vf	Micrococcus	825014
LKMB002-2-008_S99	S013	Rarely_Moist_Vf	Staphylococcus	212555
LKMB002-2-008_S99	S013	Rarely_Moist_Vf	Other	1964828
LKMB002-2-026_S117	S014	Moist_Um	Cutibacterium	6924
LKMB002-2-026_S117	S014	Moist_Um	Corynebacterium	3565
LKMB002-2-026_S117	S014	Moist_Um	Micrococcus	703
LKMB002-2-026_S117	S014	Moist_Um	Staphylococcus	1763
LKMB002-2-026_S117	S014	Moist_Um	Other	3277
LKMB002-1-80_S79	S010	Rarely_Moist_Af	Cutibacterium	106584
LKMB002-1-80_S79	S010	Rarely_Moist_Af	Corynebacterium	230212
LKMB002-1-80_S79	S010	Rarely_Moist_Af	Micrococcus	16757
LKMB002-1-80_S79	S010	Rarely_Moist_Af	Staphylococcus	50997
LKMB002-1-80_S79	S010	Rarely_Moist_Af	Other	745857
LKMB002-1-74_S73	S011	Moist_Tw	Cutibacterium	544296
LKMB002-1-74_S73	S011	Moist_Tw	Corynebacterium	357910
LKMB002-1-74_S73	S011	Moist_Tw	Micrococcus	221622
LKMB002-1-74_S73	S011	Moist_Tw	Staphylococcus	7309730
LKMB002-1-74_S73	S011	Moist_Tw	Other	2624883
LKMB002-1-22_S26	S003	Rarely_Moist_Af	Cutibacterium	394924
LKMB002-1-22_S26	S003	Rarely_Moist_Af	Corynebacterium	365239
LKMB002-1-22_S26	S003	Rarely_Moist_Af	Micrococcus	1800113
LKMB002-1-22_S26	S003	Rarely_Moist_Af	Staphylococcus	50044
LKMB002-1-22_S26	S003	Rarely_Moist_Af	Other	2828149
LKMB002-2-052_S143	S018	Moist_Um	Cutibacterium	57574
LKMB002-2-052_S143	S018	Moist_Um	Corynebacterium	6239671
LKMB002-2-052_S143	S018	Moist_Um	Micrococcus	27527
LKMB002-2-052_S143	S018	Moist_Um	Staphylococcus	4553097
LKMB002-2-052_S143	S018	Moist_Um	Other	2976837
LKMB002-2-050_S141	S018	Rarely_Moist_Vf	Cutibacterium	101583
LKMB002-2-050_S141	S018	Rarely_Moist_Vf	Corynebacterium	38825
LKMB002-2-050_S141	S018	Rarely_Moist_Vf	Micrococcus	179224
LKMB002-2-050_S141	S018	Rarely_Moist_Vf	Staphylococcus	9373
LKMB002-2-050_S141	S018	Rarely_Moist_Vf	Other	234511
LKMB002-2-023_S114	S014	Sebaceous_Ba	Cutibacterium	332759
LKMB002-2-023_S114	S014	Sebaceous_Ba	Corynebacterium	38865
LKMB002-2-023_S114	S014	Sebaceous_Ba	Micrococcus	674395
LKMB002-2-023_S114	S014	Sebaceous_Ba	Staphylococcus	423121
LKMB002-2-023_S114	S014	Sebaceous_Ba	Other	484594
LKMB002-1-88_S87	S009	Rarely_Moist_Af	Cutibacterium	746021
LKMB002-1-88_S87	S009	Rarely_Moist_Af	Corynebacterium	80094
LKMB002-1-88_S87	S009	Rarely_Moist_Af	Micrococcus	92274
LKMB002-1-88_S87	S009	Rarely_Moist_Af	Staphylococcus	128402
LKMB002-1-88_S87	S009	Rarely_Moist_Af	Other	490457
LKMB002-1-62_S61	S008	Sebaceous_Ba	Cutibacterium	268462
