Strain ID	Other ID	Genome accession	Host ID	Host category	Body site
LK932	p3-SID1294	NA	KHID117	Healthy Skin	Antecubital fossa
LK937	p3-SID1199	NA	KHID111	Healthy Skin	Toe web space
LK944	p3-SID1143	NA	KHID92	Healthy Skin	Back
LK947	p3-SID1255	NA	KHID103	Healthy Skin	Toe web space
LK954	p3-SID870	NA	KHID70	Healthy Skin	Volar forearm
LK959	p3-SID1895	NA	KHID147	Healthy Skin	Back
LK963	p3-SID1912	NA	KHID148	Healthy Skin	Volar forearm
LK968	p3-SID1406	NA	KHID125	Healthy Skin	Antecubital fossa
LK987	p3-SID1907	NA	KHID148	Healthy Skin	Volar forearm
LK992	p3-SID1854	NA	KHID133	Healthy Skin	Antecubital fossa
