dataset	genus	rel_abun	prevalence
Kraken	Fictibacillus	1.4711685209602875e-4	0
Kraken	Filifactor	0.001234614	7
Kraken	Filomicrobium	1.262549647524294e-4	0
Kraken	Fimbriimonas	1.8484935946515873e-4	0
Kraken	Finegoldia	0.3464450929315502	191
Kraken	Fischerella	3.952857464471289e-4	3
Kraken	Flagellimonas	8.550325967944692e-5	0
Kraken	Flammeovirga	7.002208588454837e-4	2
Kraken	Flaviflexus	0.00248239	16
Kraken	Flavisolibacter	0.002135016	9
Kraken	Flavobacterium	0.012972470522372473	80
Kraken	Flavonifractor	4.054640901870639e-4	1
Kraken	Flexistipes	4.574406158314167e-5	0
Kraken	Flintibacter	1.2453851912852103e-4	0
Kraken	Flocculibacter	7.554068891404027e-5	0
Kraken	Fluoribacter	2.4279036443686415e-4	1
Kraken	Fluviibacter	5.313602914760948e-5	0
Kraken	Fluviispira	2.9887971336268695e-5	0
Kraken	Formosa	1.5582883054822544e-4	0
Kraken	Francisella	0.009004612	33
Kraken	Frankia	0.005809053	48
Kraken	Frateuria	0.001179975	4
Kraken	Frederiksenia	6.247242280350903e-4	5
Kraken	Fretibacterium	6.312783598300945e-4	1
Kraken	Friedmanniella	0.004335183	31
Kraken	Frigidibacter	0.00208143	13
Kraken	Frigoribacterium	0.001610032	7
Kraken	Frigoriglobus	0.001088885	6
Kraken	Frischella	2.4124456548457884e-4	1
Kraken	Frondihabitans	0.001886127	7
Kraken	Fructilactobacillus	9.120014451602963e-5	0
Kraken	Fuerstiella	9.622309616707764e-5	0
Kraken	Fulvivirga	3.1113744958413317e-4	0
Kraken	Furfurilactobacillus	5.0539148643516385e-5	0
Kraken	Fuscovulum	0.001315912	6
Kraken	Fusobacterium	0.038422944	128
Kraken	Galbibacter	2.961213546428762e-5	0
Kraken	Gallaecimonas	1.0062748546170726e-4	0
Kraken	Gallibacterium	1.9345111194335801e-4	1
Kraken	Gallionella	2.27341369859207e-4	0
Kraken	Gardnerella	0.3346689854585416	98
Kraken	Geitlerinema	1.2654139380492436e-4	0
Kraken	Gelria	1.5398675827954858e-4	0
Kraken	Gemella	0.051115649889569376	141
Kraken	Geminocystis	6.25170291877528e-4	1
Kraken	Gemmata	0.002346313	11
Kraken	Gemmatimonas	0.001486122	8
Kraken	Gemmatirosa	0.001446695	7
Kraken	Gemmobacter	6.154821135114238e-4	1
Kraken	Geobacillus	0.002336385	10
Kraken	Geobacter	9.37153082820424e-4	2
Kraken	Geodermatophilus	0.009278693	29
Kraken	Geomonas	9.413748357683188e-4	2
Kraken	Georgenia	0.003877695	30
Kraken	Georhizobium	6.918368723215768e-4	1
Kraken	Geosporobacter	1.7580542698546547e-4	0
Kraken	Geotalea	2.425617510058121e-4	0
Kraken	Geovibrio	2.4884744942864516e-5	0
Kraken	Gephyromycinifex	8.206143707395515e-4	1
Kraken	Gibbsiella	2.8575575851142674e-4	0
Kraken	Gilliamella	8.101412606279966e-4	3
Kraken	Gillisia	8.063722855887822e-5	0
Kraken	Gimesia	9.566898172409665e-4	2
Kraken	Glaciecola	1.2098010392193915e-4	1
Kraken	Glaciihabitans	5.659809616304463e-4	1
Kraken	Glaesserella	8.646208450792761e-4	6
Kraken	Gloeobacter	4.1448721951232623e-4	0
Kraken	Gloeocapsa	2.7454153765097485e-4	2
Kraken	Gloeomargarita	1.102295555505966e-4	1
Kraken	Gloeothece	1.3340473921883957e-4	0
Kraken	Gluconacetobacter	6.747000534581418e-4	2
Kraken	Gluconobacter	0.001502665	7
Kraken	Glutamicibacter	0.006884924	55
Kraken	Glycocaulis	1.930927457102963e-4	0
